"Citation.ID","abstract_screen","full_text_screen","journal_book_title","Score","eligible_experimental","eligible_quantitative","eligible_comments"
"111571582",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",50,"Yes","Yes",""
"111571604",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",54,"Yes","Yes","They use PN-RCT!"
"111571587",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",51,"Yes","Yes",""
"111571614",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,NA,NA,NA
"111571598",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",6,NA,NA,NA
"111569955",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",6,NA,NA,NA
"111568495",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",23,"Yes","Yes",""
"111566887",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",54,"Yes","Yes","Support agents delivered treatment"
"111565447",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",34,"Yes","Yes",""
"111568438",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,NA,NA,NA
"111566944",1,"Ineligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",2,"No","Yes","Takes a subsample of a randomized experiment that does not align with original design"
"111567682",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,"Yes","Yes",""
"111568351",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",49,"Yes","Yes","Interventionists in treatment"
"111566914",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",42,NA,NA,NA
"111570209",1,"Ineligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",7,"Yes","Yes","published in 2019"
"111571507",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",13,"Yes","Yes","One treatment group had coaching "
"111568490",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",63,"Yes","Yes","Tutors in treatment group"
"111568461",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",9,"Yes","Yes","two support coaches in the treatment arm"
"111569294",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",44,"Yes","Yes","Cluster randomized but claims to be quasi and ignores clusters (looks like it does fixed effects). Teachers received workshop and taught lessons"
"111565428",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",58,NA,NA,NA
"111570086",1,"Ineligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",3,"Yes","Yes","Published in 2019"
"111570132",1,"Ineligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,"Yes","Yes","Published in 2019"
"111569296",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,NA,NA,NA
"111569871",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,"Yes","Yes",""
"111570060",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",3,"Yes","Yes",""
"111569292",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",45,"Yes","Yes","All groups received supplemental teaching  "
"111565421",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",3,"Yes","Yes",""
